Timestamp;w_time;w_yaw
876087;7889;4.134479E+003
877093;7890;4.134431E+003
878084;7891;4.134396E+003
879107;7892;4.134339E+003
880089;7893;4.134409E+003
881089;7894;4.134461E+003
882086;7895;4.134394E+003
883087;7896;4.134321E+003
884092;7897;4.134266E+003
885093;7898;4.134326E+003
886090;7899;4.134412E+003
887090;7900;4.134423E+003
888087;7901;4.134394E+003
889087;7902;4.134375E+003
890107;7903;4.134324E+003
891086;7904;4.134318E+003
892086;7905;4.134271E+003
893090;7906;4.134316E+003
894092;7907;4.134364E+003
895089;7908;4.134403E+003
896089;7909;4.134425E+003
897085;7910;4.134441E+003
898084;7911;4.134496E+003
899089;7912;4.134531E+003
900091;7913;4.134479E+003
901103;7914;4.134411E+003
902090;7915;4.134392E+003
903090;7916;4.134360E+003
904087;7917;4.134427E+003
905086;7918;4.134421E+003
906091;7919;4.134429E+003
907091;7920;4.134476E+003
908087;7921;4.134503E+003
909087;7922;4.134532E+003
910086;7923;4.134499E+003
911086;7924;4.134465E+003
912101;7925;4.134383E+003
913091;7926;4.134460E+003
914091;7927;4.134490E+003
915087;7928;4.134535E+003
916086;7929;4.134536E+003
917091;7930;4.134570E+003
918091;7931;4.134562E+003
919088;7932;4.134485E+003
920090;7933;4.134530E+003
921086;7934;4.134668E+003
922086;7935;4.134595E+003
923106;7936;4.134527E+003
924084;7937;4.134392E+003
925084;7938;4.134268E+003
926090;7939;4.134271E+003
927090;7940;4.134359E+003
928086;7941;4.134411E+003
929087;7942;4.134461E+003
930086;7943;4.134419E+003
931087;7944;4.134443E+003
932092;7945;4.134378E+003
933084;7946;4.134315E+003
934101;7947;4.134304E+003
935089;7948;4.134362E+003
936090;7949;4.134339E+003
937086;7950;4.134396E+003
938087;7951;4.134410E+003
939092;7952;4.134383E+003
940087;7953;4.134322E+003
941092;7954;4.134346E+003
942084;7955;4.134380E+003
943090;7956;4.134370E+003
944090;7957;4.134332E+003
945105;7958;4.134391E+003
946084;7959;4.134387E+003
947085;7960;4.134475E+003
948091;7961;4.134443E+003
949091;7962;4.134412E+003
950091;7963;4.134504E+003
951092;7964;4.134479E+003
952089;7965;4.134456E+003
953089;7966;4.134395E+003
